movie,review
star_wars_the_mandalorian_and_grogu,"While I appreciate the fairly family friendly nature of the film, it had a terrible script and dialogue. What’s wrong with movie writing these days? And who talks about catching the bad guys in Star Wars? Lines just felt cheesy. I lost it with the huts rolling around on the ground. Disney somehow has messed up with Star Wars once again"
star_wars_the_mandalorian_and_grogu,"This movie is probably the best Star wars project I’ve seen since Rouge one a Star Wars story, Mandalordian and grogu has a lot of great action sequences and plenty of cute grogu moments but the movie feels like four episodes of the mandalordian stitched together and the story is forgettable but the action sequences are great especially the opening sequence with the at-at walker on the cliff and they were able to still have the mandalordian be one of the coolest characters in Star Wars and all of grogu’s scenes are very adorable overall mandalordian and grogu is a movie with awesome action sequences and cut moments but it’s held back by a forgettable story and it feeling like a long episode of the mandalordian 7/10"
star_wars_the_mandalorian_and_grogu,"I loved everything about this film. Action and humour set in the Star Wars universe. The Huts were awesome villains and it was excellent to see more of their culture. Grogu continues to entertain and astound while The Mandalorian himself is just so cool, like Clint Eastwood cool. Pure entertainment at its finest."
star_wars_the_mandalorian_and_grogu,"Fun movie, I don’t know why people are hating on it so much. Just a fun time in the theatre. Ludwig’s movie score is incredible as well"
star_wars_the_mandalorian_and_grogu,"Nice mix of story telling,action, cuteness and comedy."
star_wars_the_mandalorian_and_grogu,was ok they could done another more with the story. it was like watching 4 episodes in one sitting
star_wars_the_mandalorian_and_grogu,"Good action, solid graphics and good acting. Very entertaining. Lots of strange creatures and plants."
star_wars_the_mandalorian_and_grogu,Grogu was very cute and the movie was good not great. We felt there were just too many fight scenes. Also some of the computer generated work was too obvious and not edited enough.
star_wars_the_mandalorian_and_grogu,It was a very good movie with tons of action and nice comic relief. The first half had much more good parts than the second half did.
star_wars_the_mandalorian_and_grogu,"Unnecessary, the second half is boring. Great visuals, great first half. Atrocious acting"
